runnerId,allTimeAvg,noRaces,category,resultTime
8201,15674,1,42.0,16236
8205,15645,7,37.0,11843
8209,16771,0,62.0,15278
8210,15838,0,47.0,13620
8217,15810,1,32.0,12906
8220,15838,0,47.0,16617
8222,16152,0,57.0,18116
8226,15674,0,42.0,14220
8228,15645,0,37.0,17309
8229,16166,0,21.0,18592
8230,15645,0,37.0,13320
8231,15919,0,27.0,20202
8232,15645,0,37.0,20101
8244,15506,1,52.0,18098
8247,15645,0,37.0,18255
8248,15810,0,32.0,25261
8249,16166,0,21.0,25410
8253,15645,1,37.0,13562
8255,15674,1,42.0,23220
8256,15810,7,32.0,8803
8257,15645,2,37.0,12126
8264,15674,0,42.0,20309
8270,15838,0,47.0,18273
8272,15919,0,27.0,15542
8274,15810,1,32.0,12808
8277,16115,12,52.0,14773
8280,15810,0,32.0,11116
8287,15838,0,47.0,14607
8292,16166,0,21.0,19202
8293,16166,0,21.0,14536
8295,15674,0,42.0,19644
8296,15838,0,47.0,21969
8303,16166,1,21.0,19687
8309,16115,2,52.0,16801
8311,15838,0,47.0,17344
8314,15919,0,27.0,23609
8320,15674,0,42.0,18977
8321,15838,0,47.0,23449
8327,15645,0,37.0,12639
8328,15838,0,47.0,22489
8329,12296,3,37.0,11779
8332,15810,0,32.0,18106
8333,16115,0,52.0,16769
8334,16152,0,57.0,17146
8337,15919,0,27.0,17023
8341,15674,0,42.0,16719
8343,15674,0,42.0,13877
8344,15645,0,37.0,16959
8345,15838,0,47.0,17027
8347,15919,0,27.0,17627
8351,16771,0,62.0,20672
8352,15919,0,27.0,12166
8359,15674,0,42.0,14948
8361,15645,0,37.0,15578
8362,15810,0,32.0,14711
8363,16166,0,21.0,20489
8366,14543,7,62.0,17945
8370,15645,1,37.0,10757
8372,15645,0,37.0,16869
8379,16152,0,57.0,18970
8380,15838,0,47.0,17535
8384,16152,3,57.0,14745
8387,15645,0,37.0,14508
8397,15645,1,37.0,22251
8400,15674,4,42.0,17555
8401,15645,0,37.0,22406
8403,14776,4,47.0,17462
8404,16152,3,57.0,13555
8407,16115,0,52.0,22932
8411,15645,2,37.0,17334
8414,15674,1,42.0,18579
8418,15645,0,37.0,17190
8419,15810,0,32.0,14590
8424,15645,0,37.0,26250
8436,15674,7,42.0,13754
8441,15919,0,27.0,19069
8448,16166,0,21.0,18235
8450,16115,2,52.0,16462
8451,16115,0,52.0,21166
8454,15838,1,47.0,17516
8457,16771,0,62.0,24683
8459,15810,0,32.0,22955
8461,16166,0,21.0,14680
8464,15810,0,32.0,24864
8466,16115,0,52.0,15802
8467,15674,0,42.0,21148
8468,15645,0,37.0,19919
8470,15645,0,37.0,17998
8472,15919,1,27.0,19412
8475,15919,0,27.0,20078
8476,15919,0,27.0,23610
8481,19289,1,16.0,18547
8483,15838,2,47.0,19695
8484,15645,5,37.0,14703
8485,16166,0,21.0,16645
8491,14521,4,42.0,15487
8494,15810,0,32.0,19354
8500,15919,0,27.0,17339
8507,15645,1,37.0,13600
8513,15674,1,42.0,20025
8514,16152,0,57.0,24995
8515,15810,0,32.0,18112
8517,15674,0,42.0,11319
8518,16115,1,52.0,14746
8519,15810,2,32.0,15462
8524,15838,0,47.0,17674
8525,15919,0,27.0,23631
8527,15674,1,42.0,15144
8529,16166,0,21.0,16390
8535,14601,12,42.0,17487
8536,15838,0,47.0,16196
8539,15810,1,32.0,17717
8540,16115,0,52.0,16239
8541,15838,0,47.0,15426
8544,15645,1,37.0,17130
8547,15810,0,32.0,15415
8548,15919,0,27.0,17703
8553,15838,0,47.0,20501
8562,15645,1,37.0,13622
8566,16152,0,57.0,14619
8567,15919,0,27.0,17204
8568,15810,2,32.0,14199
8575,15674,0,42.0,18044
8576,15674,0,42.0,18325
8581,15674,1,42.0,18539
8587,15758,3,37.0,17792
8588,15674,0,42.0,19758
8591,16115,0,52.0,15322
8592,15838,1,47.0,20134
8596,15919,0,27.0,22195
