2012-08-15,Le5kmEndurance,5KM
2012-08-15,Le5kmEndurance,2KM
2012-08-18,AMidSummerNightsRun,30KMRACE
2012-08-18,AMidSummerNightsRun,15KMRUN
2012-08-19,AppleTriathlon,OLYMPIC
2012-08-19,CoupeDix302012,5KM
2012-08-19,CoupeDix302012,10KM
2012-08-19,EdmontonMarathon,MARATHON
2012-08-19,Ironman70.3Timberman,70.3RESULTS
2012-08-19,IronmanMont-Tremblant,OVERALL
2012-08-25,TorontoWomens10K&5K,10KM
2012-08-26,IronmanCanada,OVERALL
2012-08-26,IronmanLouisville,OVERALLRESULTS
2012-08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON
2012-08-26,MarathondesDeuxRivesLévis-Québec,MARATHON
2012-08-26,MarathondesDeuxRivesLévis-Québec,10KM
2012-08-26,TriathlondeValleyfield,TRIATHLONOLYMPIQUE
2012-08-26,TriathlondeValleyfield,COURSE10KM
2012-08-26,TriathlondeValleyfield,DUATHLONSPRINT
2012-08-26,TriathlondeValleyfield,TRIATHLONSPRINT
2012-08-26,TriathlondeValleyfield,TRIATHLONINITIATION
2012-09-01,CanadianIron226TriathlonDuathlonandRelays,THECANADIANIRON113TRIATHLON
2012-09-01,CanadianIron226TriathlonDuathlonandRelays,THECANADIANIRON226TRIATHLON
2012-09-01,CanadianIron226TriathlonDuathlonandRelays,THECANADIANOLYMPICTRIATHLON
2012-09-01,CanadianIron226TriathlonDuathlonandRelays,THECANADIANSPRINTTRIATHLON
2012-09-01,SubaruGuelphLakeIITriathlonandDuathlon,TRYATRI
2012-09-01,TheCanadianMarathonHalfMarathon8kmand3kmRuns,THECANADIANEVENINGHALF-MARATHON
2012-09-08,KemptvilleRaceDay,10KMRUN
2012-09-08,RBCGranFondoCanadaWhistler,GRANFONDO-122KM
2012-09-08,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE
2012-09-08,TriathlonEspritdeMontreal,TRIATHLONSPRINT
2012-09-08,TriathlonEspritdeMontreal,DUATHLONOLYMPIQUE
2012-09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT
2012-09-09,CanmoreRockyMountainHalfMarathon,HALFMARATHON
2012-09-09,Demi-MarathonGranby,DEMIMARATHON
2012-09-09,Demi-MarathonGranby,10KMCOURSE
2012-09-09,Demi-MarathonGranby,5KM
2012-09-09,IronmanMuskoka70.3,OVERALLRESULTS
2012-09-09,IronmanWorldChampionship70.3,OVERALL
2012-09-09,QueenCityMarathon,MARATHON
2012-09-15,DuathlonSt-Sauveur,DUATHLON
2012-09-16,LaGrandeVadrouille,10KM
2012-09-16,LaGrandeVadrouille,5KM
2012-09-16,LaGrandeVadrouille,2KM
2012-09-22,DefiVeloMag,105KM
2012-09-22,DefiVeloMag,60KM
2012-09-22,OasisZooRun10kRun5kRun,10KM
2012-09-23,ArmyRun/CoursedelArmee,HALFMARATHON
2012-09-23,ArmyRun/CoursedelArmee,5K
2012-09-23,DefiVeloMag,21KM
2012-09-23,DefiVeloMag,TRIATHLON105-40-10
2012-09-23,DefiVeloMag,10KM
2012-09-23,DefiVeloMag,40KMVELODEMONTAGNE
2012-09-23,DefiVeloMag,TRIATHLON60-40-5
2012-09-23,IslandGirlHalfMarathon,HALFMARATHON
2012-09-23,Marathon Oasis de Montreal,Marathon
2012-09-23,Marathon Oasis de Montreal,5 km Sports Experts
2012-09-23,Marathon Oasis de Montreal,Demi-Marathon
2012-09-23,Marathon Oasis de Montreal,10 km
2012-09-23,MarathonOasisdeMontreal,MARATHON
2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON
2012-09-23,MarathonOasisdeMontreal,10KM
2012-09-23,MarathonOasisdeMontreal,5KMSPORTSEXPERTS
2012-09-23,MarathonOasisdeMontreal,1KMPTITMARATHON
2012-09-23,TheRunforGrapes1/2Marathon&amp;5kmRun,HALFMARATHON
2012-09-29,WakefieldMoonlightRiverRun,5K
2012-09-29,WakefieldMoonlightRiverRun,10K
2012-09-30,Ironman70.3PoconoMountains,OVERALLRESULTS
2012-09-30,MarathondeRimouski,"21,1KM"
2012-09-30,MarathondeRimouski,"4,2KM"
2012-09-30,MarathondeRimouski,10KM
2012-09-30,SouthOttawaRaceDayHalfMarathon,HALFMARATHON
2012-09-30,SurreyInternationalMusicMarathon,HALFMARATHON
2012-10-06,Dr.KimArmtrongTurkeyTrot,5KM
2012-10-07,BMOOkanaganMarathon,MARATHON
2012-10-07,DemimarathondescouleursdeBecancour,5KM
2012-10-07,DemimarathondescouleursdeBecancour,10KM
2012-10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON
2012-10-07,GoodLifeFitnessVictoriaMarathon,MARATHON
2012-10-07,LaPetiteDerniere,5.5KM
2012-10-07,LaPetiteDerniere,11KM
2012-10-07,LeCrossDesCouleurs,11KM
2012-10-07,LeCrossDesCouleurs,8KM
2012-10-07,LeCrossDesCouleurs,4K
2012-10-07,LeCrossDesCouleurs,2KM
2012-10-07,OttawaFallColoursMarathonEvents,5KM
2012-10-07,OttawaFallColoursMarathonEvents,MARATHON
2012-10-07,OttawaFallColoursMarathonEvents,10KM
2012-10-07,OttawaFallColoursMarathonEvents,HALFMARATHON
2012-10-14,ClassiqueDuParcLaFontaine,10KM
2012-10-14,ClassiqueDuParcLaFontaine,5KM
2012-10-14,ClassiqueDuParcLaFontaine,2KM
2012-10-14,DefiduTourduLacBeauport,18KM
2012-10-14,DefiduTourduLacBeauport,6KM
2012-10-14,DefiduTourduLacBeauport,6KM-COURSEPOUSSETTE
2012-10-14,DefiduTourduLacBeauport,12KM
2012-10-14,NikeWomen'sMarathon,MARATHON
2012-10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON
2012-10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON
2012-10-14,TheCountyMarathon,HALFMARATHON
2012-10-14,TheCountyMarathon,MARATHON
2012-10-20,9RunRun,HALFMARATHON
2012-10-20,Cross-CountrySaint-LaurentSelect,5KM
2012-10-20,Cross-CountrySaint-LaurentSelect,2KM
